iso_k,k
AFG,214726.3
ALB,2136640
DZA,2457479
AGO,940840.1
ATG,5309169
ARG,2722445
AUS,1.39E+07
AUT,1.22E+07
BHS,1.01E+07
BHR,8559459
BGD,248620.5
BRB,1.05E+07
BEL,1.20E+07
BLZ,2383534
BEN,232887.3
BMU,9294816
BTN,1217073
BOL,452895.4
BWA,4432665
BRA,1969816
BRN,8666280
BGR,2687268
BFA,204436.8
BDI,62886.72
KHM,230398.5
CMR,330394
CAN,1.02E+07
CPV,1714719
CAF,281176.1
TCD,210102.4
CHL,3205540
CHN,1929748
CH2,1987731
COL,1680495
COM,240812.7
ZAR,67441.82
COG,612142.6
CRI,2699089
CIV,119782.6
CUB,498856.7
CYP,5219030
DNK,1.10E+07
DJI,605397.8
DMA,1759523
DOM,1861507
ECU,1702475
EGY,717530.4
SLV,1220198
GNQ,3065281
ETH,96194.43
FJI,1024827
FIN,1.11E+07
FRA,9036395
GAB,3802083
GMB,197831.6
GER,1.03E+07
GHA,445419.3
GRC,8525948
GRD,5461800
GTM,1222594
GIN,212009.3
GNB,211402
GUY,1361726
HTI,202454.7
HND,993476.8
HKG,1.27E+07
HUN,4468348
ISL,1.35E+07
IND,771052.3
IDN,851345.4
IRN,3084596
IRQ,958704.2
IRL,1.06E+07
ISR,6456130
ITA,1.03E+07
JAM,9380340
JPN,1.28E+07
JOR,1604537
KEN,207208.3
KIR,2211393
KOR,9620216
LAO,446314.6
LBN,5591189
LSO,527620.7
LBR,72706.09
LUX,2.13E+07
MAC,9330816
MDG,136323
MWI,206052.8
MYS,3222777
MDV,1740648
MLI,190100.4
MLT,5247785
MHL,5386709
MRT,569828
MUS,3000387
MEX,3232807
FSM,1721011
MNG,1400484
MAR,1323730
MOZ,106737.1
NAM,1612625
NPL,271630.4
NLD,1.04E+07
NZL,6884369
NIC,801549.4
NER,111523.3
NGA,172793.1
NOR,1.63E+07
OMN,7330914
PAK,374761.1
PLW,6251580
PAN,2233131
PNG,227530.8
PRY,771454.8
PER,1642428
PHL,670845.9
POL,3459475
PRT,7251092
PRI,6029847
ROM,2865115
RWA,115685.6
WSM,1234297
STP,303093.3
SEN,341128.7
SYC,1.08E+07
SLE,182274.7
SGP,1.55E+07
SLB,336607.2
SOM,139193.3
ZAF,1881401
ESP,9533387
LKA,917017.2
KNA,5257544
LCA,5690758
VCT,2259922
SDN,269331.7
SUR,6482702
SWZ,1102656
SWE,8651094
CHE,1.42E+07
SYR,624987.3
TWN,7798422
TZA,240207.6
THA,2595509
TGO,142005.1
TON,2588989
TTO,6465185
TUN,2071593
TUR,1975219
UGA,138656.7
GBR,7608426
USA,1.12E+07
URY,2721844
VUT,1769482
VEN,2475825
VNM,655892.9
ZMB,234145.7
ZWE,22194.99
